"Tabela 202 - População residente, por sexo e situação do domicílio"
"Variável - População residente (Pessoas)"
"Nível";"Cód.";"Município";"Situação do domicílio";"Ano x Sexo"
"Nível";"Cód.";"Município";"Situação do domicílio";"1970"
"Nível";"Cód.";"Município";"Situação do domicílio";"Total";"Homens";"Mulheres"
"MU";"1200104";"Brasiléia (AC)";"Rural";"9647";"5105";"4542"
"MU";"1200138";"Bujari (AC)";"Total";"...";"...";"..."
"MU";"1200138";"Bujari (AC)";"Urbana";"...";"...";"..."
"MU";"1200138";"Bujari (AC)";"Rural";"...";"...";"..."
"MU";"1200179";"Capixaba (AC)";"Total";"...";"...";"..."
"MU";"1200179";"Capixaba (AC)";"Urbana";"...";"...";"..."
"MU";"1200179";"Capixaba (AC)";"Rural";"...";"...";"..."
"MU";"1200203";"Cruzeiro do Sul (AC)";"Total";"43584";"22290";"21294"
"MU";"1200203";"Cruzeiro do Sul (AC)";"Urbana";"9610";"4667";"4943"
"MU";"1200203";"Cruzeiro do Sul (AC)";"Rural";"33974";"17623";"16351"
"MU";"1200252";"Epitaciolândia (AC)";"Total";"...";"...";"..."
"MU";"1200252";"Epitaciolândia (AC)";"Urbana";"...";"...";"..."
"MU";"1200252";"Epitaciolândia (AC)";"Rural";"...";"...";"..."
"MU";"1200302";"Feijó (AC)";"Total";"15768";"8274";"7494"
"MU";"1200302";"Feijó (AC)";"Urbana";"2256";"1129";"1127"
"MU";"1200302";"Feijó (AC)";"Rural";"13512";"7145";"6367"
"MU";"1200328";"Jordão (AC)";"Total";"...";"...";"..."
"MU";"1200328";"Jordão (AC)";"Urbana";"...";"...";"..."
"MU";"1200328";"Jordão (AC)";"Rural";"...";"...";"..."
"MU";"1200336";"Mâncio Lima (AC)";"Total";"...";"...";"..."
"MU";"1200336";"Mâncio Lima (AC)";"Urbana";"...";"...";"..."
"MU";"1200336";"Mâncio Lima (AC)";"Rural";"...";"...";"..."
"MU";"1200344";"Manoel Urbano (AC)";"Total";"...";"...";"..."
"MU";"1200344";"Manoel Urbano (AC)";"Urbana";"...";"...";"..."
"MU";"1200344";"Manoel Urbano (AC)";"Rural";"...";"...";"..."
"MU";"1200351";"Marechal Thaumaturgo (AC)";"Total";"...";"...";"..."
"MU";"1200351";"Marechal Thaumaturgo (AC)";"Urbana";"...";"...";"..."
"MU";"1200351";"Marechal Thaumaturgo (AC)";"Rural";"...";"...";"..."
"MU";"1200385";"Plácido de Castro (AC)";"Total";"...";"...";"..."
"MU";"1200385";"Plácido de Castro (AC)";"Urbana";"...";"...";"..."
"MU";"1200385";"Plácido de Castro (AC)";"Rural";"...";"...";"..."
"MU";"1200393";"Porto Walter (AC)";"Total";"...";"...";"..."
"MU";"1200393";"Porto Walter (AC)";"Urbana";"...";"...";"..."
"MU";"1200393";"Porto Walter (AC)";"Rural";"...";"...";"..."
"MU";"1200401";"Rio Branco (AC)";"Total";"83977";"43896";"40081"
"MU";"1200401";"Rio Branco (AC)";"Urbana";"35628";"17442";"18186"
"MU";"1200401";"Rio Branco (AC)";"Rural";"48349";"26454";"21895"
"MU";"1200427";"Rodrigues Alves (AC)";"Total";"...";"...";"..."
"MU";"1200427";"Rodrigues Alves (AC)";"Urbana";"...";"...";"..."
"MU";"1200427";"Rodrigues Alves (AC)";"Rural";"...";"...";"..."
"MU";"1200435";"Santa Rosa do Purus (AC)";"Total";"...";"...";"..."
"MU";"1200435";"Santa Rosa do Purus (AC)";"Urbana";"...";"...";"..."
"MU";"1200435";"Santa Rosa do Purus (AC)";"Rural";"...";"...";"..."
"MU";"1200450";"Senador Guiomard (AC)";"Total";"...";"...";"..."
"MU";"1200450";"Senador Guiomard (AC)";"Urbana";"...";"...";"..."
