Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Autonomia 2013;IFGF Autonomia 2013;Ranking Estadual 2014;Ranking IFGF Autonomia 2014;IFGF Autonomia 2014;Ranking Estadual 2015;Ranking IFGF Autonomia 2015;IFGF Autonomia 2015;Ranking Estadual 2016;Ranking IFGF Autonomia 2016;IFGF Autonomia 2016;Ranking Estadual 2017;Ranking IFGF Autonomia 2017;IFGF Autonomia 2017;Ranking Estadual 2018;Ranking IFGF Autonomia 2018;IFGF Autonomia 2018
330225;RJ;Itatiaia;25º;941º;0,9563;1º;1º;1,0000;39º;1.217º;0,8057;36º;1.226º;0,7561;22º;1.067º;0,9144;1º;1º;1,0000
330227;RJ;Japeri;74º;2.245º;0,3750;59º;2.058º;0,4234;71º;2.246º;0,3785;60º;2.178º;0,3793;73º;2.461º;0,3427;62º;2.319º;0,3766
330230;RJ;Laje do Muriaé;1º;1º;1,0000;21º;849º;0,9716;1º;1º;1,0000;19º;778º;0,9748;nd;nd;nd;nd;nd;nd
330240;RJ;Macaé;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
330245;RJ;Macuco;28º;1.007º;0,9216;61º;2.095º;0,4092;60º;1.922º;0,5045;59º;2.110º;0,4047;52º;1.773º;0,5969;42º;1.881º;0,5429
330250;RJ;Magé;77º;2.388º;0,3157;63º;2.198º;0,3744;59º;1.912º;0,5100;61º;2.180º;0,3768;66º;2.231º;0,4228;nd;nd;nd
330260;RJ;Mangaratiba;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;37º;1.694º;0,6253
330270;RJ;Maricá;84º;2.976º;0,1039;81º;2.875º;0,1383;86º;3.382º;0,0100;81º;2.936º;0,1320;86º;3.485º;0,0064;78º;3.482º;0,0000
330280;RJ;Mendes;40º;1.317º;0,7560;35º;1.381º;0,7044;40º;1.259º;0,7893;46º;1.506º;0,6436;41º;1.522º;0,7009;30º;1.461º;0,7201
330285;RJ;Mesquita;78º;2.509º;0,2719;83º;3.311º;0,0000;87º;3.416º;0,0000;86º;3.432º;0,0000;87º;3.512º;0,0000;nd;nd;nd
330290;RJ;Miguel Pereira;30º;1.065º;0,8905;27º;1.161º;0,8108;32º;1.095º;0,8581;40º;1.280º;0,7302;46º;1.651º;0,6429;57º;2.223º;0,4182
330300;RJ;Miracema;76º;2.365º;0,3251;80º;2.784º;0,1663;82º;2.709º;0,2139;73º;2.505º;0,2676;64º;2.205º;0,4310;78º;3.482º;0,0000
330310;RJ;Natividade;81º;2.659º;0,2105;49º;1.798º;0,5244;75º;2.361º;0,3397;76º;2.663º;0,2192;70º;2.374º;0,3728;33º;1.496º;0,7085
330320;RJ;Nilópolis;85º;3.015º;0,0906;71º;2.402º;0,3054;64º;2.061º;0,4432;74º;2.520º;0,2641;61º;2.174º;0,4455;54º;2.064º;0,4758
330330;RJ;Niterói;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;20º;1.081º;0,9035
330340;RJ;Nova Friburgo;42º;1.333º;0,7465;41º;1.549º;0,6267;36º;1.187º;0,8176;44º;1.425º;0,6734;33º;1.328º;0,7864;25º;1.195º;0,8419
330350;RJ;Nova Iguaçu;32º;1.175º;0,8334;24º;981º;0,9024;33º;1.117º;0,8496;27º;1.008º;0,8584;26º;1.163º;0,8698;23º;1.122º;0,8832
330360;RJ;Paracambi;71º;2.166º;0,4019;56º;1.963º;0,4601;63º;2.042º;0,4550;56º;1.992º;0,4514;50º;1.737º;0,6101;68º;2.820º;0,2049
330370;RJ;Paraíba do Sul;41º;1.326º;0,7497;58º;2.005º;0,4464;68º;2.157º;0,4081;52º;1.738º;0,5586;56º;2.087º;0,4793;29º;1.448º;0,7265
330380;RJ;Paraty;54º;1.678º;0,5983;46º;1.696º;0,5664;51º;1.645º;0,6215;32º;1.164º;0,7823;28º;1.229º;0,8340;39º;1.846º;0,5579
330385;RJ;Paty do Alferes;80º;2.590º;0,2372;75º;2.497º;0,2667;66º;2.083º;0,4349;78º;2.689º;0,2119;72º;2.405º;0,3638;58º;2.241º;0,4113
330390;RJ;Petrópolis;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
330395;RJ;Pinheiral;34º;1.194º;0,8250;30º;1.266º;0,7644;41º;1.357º;0,7436;43º;1.414º;0,6791;57º;2.091º;0,4777;41º;1.879º;0,5431
330400;RJ;Piraí;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
330410;RJ;Porciúncula;38º;1.271º;0,7780;32º;1.334º;0,7312;57º;1.784º;0,5606;70º;2.367º;0,3131;62º;2.191º;0,4375;55º;2.111º;0,4541
330411;RJ;Porto Real;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
330412;RJ;Quatis;55º;1.711º;0,5826;57º;1.984º;0,4517;55º;1.700º;0,6018;58º;2.026º;0,4376;60º;2.147º;0,4569;46º;1.972º;0,5115
330414;RJ;Queimados;79º;2.519º;0,2682;77º;2.519º;0,2577;79º;2.556º;0,2690;77º;2.677º;0,2156;77º;2.677º;0,2587;67º;2.541º;0,2997
330415;RJ;Quissamã;46º;1.406º;0,7116;55º;1.881º;0,4931;22º;900º;0,9660;1º;1º;1,0000;31º;1.289º;0,8032;40º;1.868º;0,5483
330420;RJ;Resende;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000;1º;1º;1,0000
330430;RJ;Rio Bonito;69º;2.124º;0,4192;76º;2.503º;0,2643;69º;2.177º;0,4028;64º;2.267º;0,3447;63º;2.195º;0,4363;64º;2.393º;0,3509
