Código;UF;Município;Ranking Estadual 2013;Ranking IFGF Investimentos 2013;IFGF Investimentos 2013;Ranking Estadual 2014;Ranking IFGF Investimentos 2014;IFGF Investimentos 2014;Ranking Estadual 2015;Ranking IFGF Investimentos 2015;IFGF Investimentos 2015;Ranking Estadual 2016;Ranking IFGF Investimentos 2016;IFGF Investimentos 2016;Ranking Estadual 2017;Ranking IFGF Investimentos 2017;IFGF Investimentos 2017;Ranking Estadual 2018;Ranking IFGF Investimentos 2018;IFGF Investimentos 2018
220325;PI;Curralinhos;119º;2.340º;0,5284;195º;4.558º;0,2937;162º;4.103º;0,2580;nd;nd;nd;34º;504º;0,7351;44º;1.272º;0,6601
220327;PI;Curral Novo do Piauí;76º;1.344º;0,7235;157º;3.422º;0,4862;120º;3.012º;0,3916;139º;2.881º;0,4004;85º;1.297º;0,5021;1º;1º;1,0000
220330;PI;Demerval Lobão;100º;1.813º;0,6312;139º;2.957º;0,5656;25º;454º;0,9987;38º;623º;0,9381;18º;255º;0,9016;86º;2.005º;0,5178
220335;PI;Dirceu Arcoverde;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;1º;1º;1,0000
220340;PI;Dom Expedito Lopes;124º;2.426º;0,5129;179º;4.143º;0,3715;179º;4.466º;0,2119;192º;5.065º;0,0777;188º;4.590º;0,1300;181º;4.346º;0,2296
220342;PI;Domingos Mourão;209º;5.252º;0,0552;160º;3.561º;0,4608;114º;2.745º;0,4269;nd;nd;nd;185º;4.475º;0,1402;171º;4.151º;0,2496
220345;PI;Dom Inocêncio;85º;1.484º;0,6899;147º;3.226º;0,5204;52º;1.167º;0,7008;nd;nd;nd;166º;3.839º;0,1917;124º;2.955º;0,3853
220350;PI;Elesbão Veloso;102º;1.856º;0,6235;114º;2.526º;0,6355;58º;1.252º;0,6788;1º;1º;1,0000;1º;1º;1,0000;20º;507º;0,9415
220360;PI;Eliseu Martins;49º;808º;0,8979;117º;2.569º;0,6271;69º;1.622º;0,5990;63º;1.015º;0,7720;68º;1.055º;0,5535;166º;4.049º;0,2620
220370;PI;Esperantina;160º;3.258º;0,3899;210º;5.189º;0,1064;105º;2.527º;0,4569;114º;2.050º;0,5280;148º;3.218º;0,2486;195º;4.967º;0,1442
220375;PI;Fartura do Piauí;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
220380;PI;Flores do Piauí;nd;nd;nd;nd;nd;nd;1º;1º;1,0000;nd;nd;nd;189º;4.594º;0,1294;174º;4.174º;0,2471
220385;PI;Floresta do Piauí;193º;4.609º;0,2005;1º;1º;1,0000;156º;3.982º;0,2744;156º;3.552º;0,3131;nd;nd;nd;61º;1.534º;0,6033
220390;PI;Floriano;188º;4.426º;0,2273;202º;4.942º;0,2034;173º;4.354º;0,2266;176º;4.558º;0,1763;202º;5.196º;0,0626;105º;2.497º;0,4430
220400;PI;Francinópolis;66º;1.132º;0,7839;188º;4.405º;0,3244;43º;849º;0,8008;105º;1.794º;0,5754;37º;577º;0,7011;16º;462º;0,9751
220410;PI;Francisco Ayres;130º;2.598º;0,4854;131º;2.810º;0,5866;150º;3.821º;0,2929;140º;2.922º;0,3958;122º;2.337º;0,3412;101º;2.340º;0,4664
220415;PI;Francisco Macedo;1º;1º;1,0000;68º;1.384º;0,8855;138º;3.493º;0,3323;178º;4.613º;0,1669;113º;2.101º;0,3718;198º;5.064º;0,1255
220420;PI;Francisco Santos;92º;1.604º;0,6697;93º;2.069º;0,7298;63º;1.423º;0,6388;52º;845º;0,8379;59º;925º;0,5860;58º;1.496º;0,6127
220430;PI;Fronteiras;1º;1º;1,0000;98º;2.148º;0,7090;129º;3.213º;0,3684;103º;1.740º;0,5846;81º;1.241º;0,5131;59º;1.505º;0,6106
220435;PI;Geminiano;180º;4.139º;0,2672;200º;4.880º;0,2219;186º;4.650º;0,1882;185º;4.818º;0,1324;33º;500º;0,7380;113º;2.695º;0,4172
220440;PI;Gilbués;59º;1.005º;0,8250;119º;2.636º;0,6152;123º;3.067º;0,3861;113º;2.041º;0,5289;102º;1.749º;0,4215;90º;2.068º;0,5076
220450;PI;Guadalupe;164º;3.326º;0,3806;174º;4.023º;0,3906;159º;4.012º;0,2695;182º;4.746º;0,1463;162º;3.805º;0,1945;149º;3.580º;0,3169
