Tabela 1301 - Área e Densidade demográfica da unidade territorial;;;
Variável - Densidade demográfica da unidade territorial (Habitante por quilômetro quadrado);;;
Nível;Cód.;Município;Ano
MU;1507706;São Sebastião da Boa Vista (PA);14,03
MU;1507755;Sapucaia (PA);3,89
MU;1507805;Senador José Porfírio (PA);0,91
MU;1507904;Soure (PA);6,54
MU;1507953;Tailândia (PA);17,9
MU;1507961;Terra Alta (PA);49,72
MU;1507979;Terra Santa (PA);8,94
MU;1508001;Tomé-Açu (PA);10,98
MU;1508035;Tracuateua (PA);29,33
MU;1508050;Trairão (PA);1,41
MU;1508084;Tucumã (PA);13,41
MU;1508100;Tucuruí (PA);46,56
MU;1508126;Ulianópolis (PA);8,52
MU;1508159;Uruará (PA);4,15
MU;1508209;Vigia (PA);88,84
MU;1508308;Viseu (PA);11,54
MU;1508357;Vitória do Xingu (PA);4,28
MU;1508407;Xinguara (PA);10,74
MU;1600055;Serra do Navio (AP);0,56
MU;1600105;Amapá (AP);0,88
MU;1600154;Pedra Branca do Amapari (AP);1,13
MU;1600204;Calçoene (AP);0,63
MU;1600212;Cutias (AP);2,22
MU;1600238;Ferreira Gomes (AP);1,15
MU;1600253;Itaubal (AP);2,5
MU;1600279;Laranjal do Jari (AP);1,29
MU;1600303;Macapá (AP);62,14
MU;1600402;Mazagão (AP);1,3
MU;1600501;Oiapoque (AP);0,91
MU;1600535;Porto Grande (AP);3,82
MU;1600550;Pracuúba (AP);0,77
MU;1600600;Santana (AP);64,11
MU;1600709;Tartarugalzinho (AP);1,87
MU;1600808;Vitória do Jari (AP);5,01
MU;1700251;Abreulândia (TO);1,26
MU;1700301;Aguiarnópolis (TO);21,93
MU;1700350;Aliança do Tocantins (TO);3,59
MU;1700400;Almas (TO);1,89
MU;1700707;Alvorada (TO);6,91
MU;1701002;Ananás (TO);6,26
MU;1701051;Angico (TO);7,03
MU;1701101;Aparecida do Rio Negro (TO);3,63
MU;1701309;Aragominas (TO);5,01
MU;1701903;Araguacema (TO);2,27
MU;1702000;Araguaçu (TO);1,7
MU;1702109;Araguaína (TO);37,62
MU;1702158;Araguanã (TO);6,02
MU;1702208;Araguatins (TO);11,93
MU;1702307;Arapoema (TO);4,34
MU;1702406;Arraias (TO);1,84
MU;1702554;Augustinópolis (TO);40,38
MU;1702703;Aurora do Tocantins (TO);4,58
MU;1702901;Axixá do Tocantins (TO);61,75
MU;1703008;Babaçulândia (TO);5,83
MU;1703057;Bandeirantes do Tocantins (TO);2,02
MU;1703073;Barra do Ouro (TO);3,73
MU;1703107;Barrolândia (TO);7,5
MU;1703206;Bernardo Sayão (TO);4,81
MU;1703305;Bom Jesus do Tocantins (TO);2,83
MU;1703602;Brasilândia do Tocantins (TO);3,22
MU;1703701;Brejinho de Nazaré (TO);3,01
MU;1703800;Buriti do Tocantins (TO);38,77
MU;1703826;Cachoeirinha (TO);6,1
MU;1703842;Campos Lindos (TO);2,51
MU;1703867;Cariri do Tocantins (TO);3,33
MU;1703883;Carmolândia (TO);6,82
MU;1703891;Carrasco Bonito (TO);19,12
MU;1703909;Caseara (TO);2,72
MU;1704105;Centenário (TO);1,31
MU;1704600;Chapada de Areia (TO);2,03
MU;1705102;Chapada da Natividade (TO);1,99
MU;1705508;Colinas do Tocantins (TO);36,54
MU;1705557;Combinado (TO);22,27
