IBGE;TSE;MUNICIPIO;UF;PIP
1506708;5339;SANTANA DO ARAGUAIA;PA;4239
1506807;5355;SANTARÉM;PA;23086
1506906;5371;SANTARÉM NOVO;PA;805
1507003;5398;SANTO ANTÔNIO DO TAUÁ;PA;2774
1507102;5410;SÃO CAETANO DE ODIVELAS;PA;1774
1507151;4464;SÃO DOMINGOS DO ARAGUAIA;PA;2043
1507201;5436;SÃO DOMINGOS DO CAPIM;PA;1313
1507300;5452;SÃO FÉLIX DO XINGU;PA;3259
1507409;5479;SÃO FRANCISCO DO PARÁ;PA;726
1507458;5797;SÃO GERALDO DO ARAGUAIA;PA;671
1507466;4820;SÃO JOÃO DA PONTA;PA;764
1507474;4065;SÃO JOÃO DE PIRABAS;PA;2236
1507508;5495;SÃO JOÃO DO ARAGUAIA;PA;894
1507607;5517;SÃO MIGUEL DO GUAMÁ;PA;4055
1507706;5533;SÃO SEBASTIÃO DA BOA VISTA;PA;437
1507755;4847;SAPUCAIA;PA;493
1507805;5550;SENADOR JOSÉ PORFÍRIO;PA;640
1507904;5576;SOURE;PA;2288
1507953;4022;TAILÂNDIA;PA;5222
1507961;4545;TERRA ALTA;PA;1213
1507979;4367;TERRA SANTA;PA;1372
1508001;5592;TOMÉ-AÇU;PA;353
1508035;4669;TRACUATEUA;PA;2213
1508050;4286;TRAIRÃO;PA;893
1508084;4081;TUCUMÃ;PA;4270
1508100;5614;TUCURUÍ;PA;7986
1508126;4324;ULIANÓPOLIS;PA;512
1508159;5754;URUARÁ;PA;3095
1508209;5630;VIGIA;PA;4521
1508308;5657;VISEU;PA;3342
1508357;4405;VITÓRIA DO XINGU;PA;1071
1508407;5711;XINGUARA;PA;5908
1700251;73008;ABREULÂNDIA;TO;280
1700301;73512;AGUIARNÓPOLIS;TO;1111
1700350;96954;ALIANÇA DO TOCANTINS;TO;1124
1700400;92070;ALMAS;TO;1341
1700707;92134;ALVORADA;TO;1951
1701002;92193;ANANÁS;TO;946
1701051;73075;ANGICO;TO;505
1701101;96970;APARECIDA DO RIO NEGRO;TO;620
1701309;73334;ARAGOMINAS;TO;1
1701903;92371;ARAGUACEMA;TO;903
1702000;92398;ARAGUAÇU;TO;1370
1702109;92410;ARAGUAÍNA;TO;23337
1702158;73318;ARAGUANÃ;TO;710
1702208;92436;ARAGUATINS;TO;2676
1702307;92452;ARAPOEMA;TO;853
1702406;92479;ARRAIAS;TO;980
1702554;96857;AUGUSTINÓPOLIS;TO;6
1702703;92533;AURORA DO TOCANTINS;TO;547
1702901;92576;AXIXÁ DO TOCANTINS;TO;946
1703008;92592;BABAÇULÂNDIA;TO;605
1703057;73580;BANDEIRANTES DO TOCANTINS;TO;423
1703073;73610;BARRA DO OURO;TO;675
1703107;96997;BARROLÂNDIA;TO;876
1703206;92002;BERNARDO SAYÃO;TO;800
1703305;73121;BOM JESUS DO TOCANTINS;TO;452
1703602;73245;BRASILÂNDIA DO TOCANTINS;TO;361
1703701;92738;BREJINHO DE NAZARÉ;TO;1295
1703800;92045;BURITI DO TOCANTINS;TO;1065
1703826;73067;CACHOEIRINHA;TO;274
1703842;73091;CAMPOS LINDOS;TO;813
1703867;73300;CARIRI DO TOCANTINS;TO;430
1703883;73326;CARMOLÂNDIA;TO;574
1703891;73423;CARRASCO BONITO;TO;363
1703909;92088;CASEARA;TO;620
1704105;73210;CENTENÁRIO;TO;350
1704600;73474;CHAPADA DE AREIA;TO;247
1705102;73482;CHAPADA DA NATIVIDADE;TO;248
1705508;93114;COLINAS DO TOCANTINS;TO;5035
1705557;92142;COMBINADO;TO;812
1705607;93130;CONCEIÇÃO DO TOCANTINS;TO;493
1706001;93211;COUTO DE MAGALHÃES;TO;567
1706100;93238;CRISTALÂNDIA;TO;1145
1706258;73555;CRIXÁS DO TOCANTINS;TO;222
1706506;73032;DARCINÓPOLIS;TO;681
1707009;93416;DIANÓPOLIS;TO;2266
1707108;92185;DIVINÓPOLIS DO TOCANTINS;TO;1024
1707207;93459;DOIS IRMÃOS DO TOCANTINS;TO;477
1707306;93475;DUERÉ;TO;617
1707405;73296;ESPERANTINA;TO;919
1707553;96830;FÁTIMA;TO;615
1707652;96679;FIGUEIRÓPOLIS;TO;1208
1707702;93556;FILADÉLFIA;TO;1019
1708205;93653;FORMOSO DO ARAGUAIA;TO;2455
1708254;73199;FORTALEZA DO TABOCÃO;TO;514
1708304;92240;GOIANORTE;TO;642
1709005;95338;GOIATINS;TO;100
1709302;96270;GUARAÍ;TO;4317
1709500;93858;GURUPI;TO;13920
1709807;73598;IPUEIRAS;TO;355
1710508;94056;ITACAJÁ;TO;560
1710706;94099;ITAGUATINS;TO;629
1710904;73202;ITAPIRATINS;TO;574
1711100;94170;ITAPORÃ DO TOCANTINS;TO;280
1711506;73369;JAÚ DO TOCANTINS;TO;452
1711803;73253;JUARINA;TO;214
1711902;73385;LAGOA DA CONFUSÃO;TO;2851
1711951;73113;LAGOA DO TOCANTINS;TO;408
1712009;73407;LAJEADO;TO;683
